#Données de temps d'insertion, de recherche et de taux de charge sur une table de hachage.
#Taille_map	Insertion	Recherche	Charge
539 4.31855e-06 2.28035e-06 0.656136
540 3.7402e-06 3.48805e-06 0.657351
541 3.71405e-06 3.5872e-06 0.658566
542 4.05625e-06 3.58485e-06 0.659781
543 3.87405e-06 3.87345e-06 0.660996
544 3.5316e-06 3.84505e-06 0.662211
545 3.6451e-06 3.4826e-06 0.663426
546 3.3943e-06 2.7038e-06 0.664642
547 3.5013e-06 2.52495e-06 0.665857
548 3.56095e-06 3.3196e-06 0.667072
549 3.602e-06 3.75365e-06 0.668287
550 3.58355e-06 2.1887e-06 0.669502
551 3.5624e-06 2.8547e-06 0.670717
552 3.6e-06 3.85185e-06 0.671932
553 3.8639e-06 3.08835e-06 0.673147
554 3.44365e-06 2.32075e-06 0.674362
555 3.7273e-06 2.1523e-06 0.675577
556 3.5469e-06 2.9751e-06 0.676792
557 3.65555e-06 3.9673e-06 0.678007
558 3.5984e-06 2.50935e-06 0.679222
559 3.44375e-06 2.5748e-06 0.680437
560 3.60595e-06 2.5475e-06 0.681652
561 3.4868e-06 2.6007e-06 0.682868
562 3.49455e-06 2.2278e-06 0.684083
563 3.52725e-06 2.32195e-06 0.685298
564 3.5279e-06 2.729e-06 0.686513
565 3.47955e-06 2.61435e-06 0.687728
566 3.394e-06 2.31275e-06 0.688943
567 3.79025e-06 3.0354e-06 0.690158
568 3.70955e-06 3.13685e-06 0.691373
569 3.60685e-06 3.03705e-06 0.692588
570 3.7013e-06 3.6482e-06 0.693803
571 5.04045e-06 4.367e-06 0.695018
572 3.88635e-06 3.1886e-06 0.696233
573 5.21275e-06 2.69175e-06 0.697448
574 3.9013e-06 4.01045e-06 0.698663
575 4.63545e-06 3.6623e-06 0.699879
576 3.62935e-06 2.4587e-06 0.701094
577 3.8601e-06 3.2463e-06 0.702309
578 3.90575e-06 3.00365e-06 0.703524
579 3.88e-06 2.9385e-06 0.704739
580 3.56955e-06 3.1656e-06 0.705954
581 3.6124e-06 3.30545e-06 0.707169
582 3.74775e-06 2.54705e-06 0.708384
583 4.2627e-06 4.15345e-06 0.709599
584 3.56455e-06 3.41865e-06 0.710814
585 4.0916e-06 3.16565e-06 0.712029
586 3.4488e-06 2.65375e-06 0.713244
587 3.56575e-06 2.14005e-06 0.714459
588 3.45e-06 2.5217e-06 0.715674
589 3.6917e-06 3.05685e-06 0.716889
590 4.49615e-06 3.6818e-06 0.718104
591 3.74085e-06 3.2384e-06 0.71932
592 3.6641e-06 3.64155e-06 0.720535
593 3.50235e-06 3.1603e-06 0.72175
594 3.686e-06 3.61365e-06 0.722965
595 3.75445e-06 3.6059e-06 0.72418
596 3.66765e-06 2.77865e-06 0.725395
597 4.0703e-06 3.7997e-06 0.72661
598 3.5972e-06 2.27565e-06 0.727825
599 3.62905e-06 2.26905e-06 0.72904
